Course Code,Course Title
COS120,C++ Programming
COS150,Discrete Structures
COS221,Fundamental Data Structures
COS230,Basics in Java Programming
COS231,Introduction to Unix
COS235,Computer Architecture
COS240, Object-Oriented Programming
COS301,Compiler Theory
COS460,Algorithms
COS491,Senior Project
INF130,Basics in C# Programming
INF241,Website Development
INF151,Personal Productivity with Information Technologies
INF270,Analysis and Design of Information Systems
INF280,Database Systems
INF320,Mobile Computing
INF441,Technologies for Web-based Information Systems
INF492,Senior Project INF
